Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
18371341,Mazzo,Ahmedabad,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad","Cafe, American, Continental, Armenian, Fast Food",3.9
113570,Turquoise Villa,Ahmedabad,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Continental,4.0
2400020,Aryan Family's Delight,Allahabad,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad","North Indian, South Indian, Fast Food",3.4
2400148,Bean Here,Allahabad,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad","Cafe, Fast Food",3.3
2400019,Bikanerwala,Allahabad,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad","North Indian, Street Food, Fast Food",3.2
2400193,Dewsis,Allahabad,"2, MG Marg, Opposite Hanuman Mandir, Civil Lines, Allahabad","North Indian, Chinese",3.4
2400027,Friends Forever,Allahabad,"13/13, Sardar Patel Marg, Civil Lines, Allahabad","North Indian, Chinese",3.4
17960073,Hotel Ravisha Continental,Allahabad,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad","North Indian, South Indian, Chinese",3.4
2400119,KFC,Allahabad,"P Square Mall, Civil Lines, Allahabad","American, Fast Food",3.4
2400014,McDonald's,Allahabad,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",Fast Food,3.3
2400403,Pind Balluchi,Allahabad,"5-A, Sardar Patel Marg, Civil Lines, Allahabad","North Indian, Mughlai",3.2
2400349,Pizza Hut,Allahabad,"31/31, Sardar Patel Marg, Civil Lines, Allahabad","Italian, Pizza",3.4
2400279,Subway,Allahabad,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad","Fast Food, American, Salad, Healthy Food",3.4
2400017,Tandoor Restaurant,Allahabad,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad","North Indian, Chinese",3.2
18317988,The BrewMaster,Allahabad,"Near Vishal Megamart, Civil Lines, Allahabad","North Indian, Chinese, Italian",3.3
2400144,The Tamarind Tree,Allahabad,"60 C, Thornhill Road, Civil Lines, Allahabad","South Indian, Chinese",3.4
2400195,Cafe El Chico,Allahabad,"24, Mahatma Gandhi, Civil Lines, Allahabad","Continental, Italian",3.6
2400052,Eat On,Allahabad,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",North Indian,3.7
2400016,Hot Stuff,Allahabad,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad","North Indian, Fast Food",3.5
2400293,Paradise,Allahabad,"19/35, MG Marg, Civil Lines, Allahabad","Desserts, Fast Food",3.6
2400009,Sagar Ratna,Allahabad,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad","South Indian, North Indian, Chinese, Continental",3.5
2400010,Moti Mahal Delux,Allahabad,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Mughlai, North Indian, Chinese",3.3
2200011,Makhan Fish and Chicken Corner,Amritsar,"21-A, Near Madaan Hospital, Majitha Road, Basant Nagar, Amritsar","North Indian, Chinese",3.4
2200078,Charming Chicken,Amritsar,"Shop 3, Opposite Nari Nikaten, Majithia Road, Near Basant Nagar, Amritsar",North Indian,3.9
18204507,Ahuja Milk Bhandar,Amritsar,"Dhab Khatikan, Near Hindu College, Hathi Gate, Amritsar",Beverages,4.0
2200030,Crystal Restaurant,Amritsar,"Crystal Chowk, Queens Road, INA Colony, Amritsar","North Indian, Mughlai",3.4
2200201,Brijwasi Chat Bhandar,Amritsar,"Crystal Chowk, Cooper Road, Near INA Colony",Street Food,3.6
2200067,Bubby Fish & Chicken Corner,Amritsar,"Near Crystal Chowk, Cooper Road, INA Colony, Amritsar",North Indian,3.5
2200358,Bon Gateau,Amritsar,"SCF 27, C Block Market, Ranjit Avenue, Amritsar","Cafe, Bakery, Fast Food",3.4
2200001,The Yellow Chilli,Amritsar,"108, GRD Towers, District Shopping Center, Ranjit Avenue, Amritsar","North Indian, Mughlai, Chinese",3.4
2200033,La Roma Pizzeria,Amritsar,"SCO 6, District Shopping Complex, Ranjit Avenue, Amritsar","Fast Food, Italian",3.5
2200283,Sakhis Watz Kukin,Amritsar,"M 47, Green Avenue, opp Main Park, Amritsar","North Indian, Chinese",3.6
2200045,The Kulcha Land,Amritsar,"Opposite M.K Hotel, District Shopping Centre, Ranjit Avenue, Amritsar","North Indian, Street Food",3.9
2200149,Shudh Restaurant,Amritsar,"Opposite Gurudwara Saragarhi, Near Dharm Singh Market Chowk, Fuwara, Town Hall, Amritsar","North Indian, South Indian, Chinese, Fast Food",3.4
2200043,Bade Bhai Ka Brothers' Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar","North Indian, Fast Food",3.7
2200044,Bharawan Da Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar","North Indian, Fast Food",3.5
2200132,Brothers Dhaba,Amritsar,"Golden Temple Out Road, Opposite Amritsar Municipal Corporation, Town Hall, Amritsar",North Indian,3.8
2200236,Brothers' Amritsari Dhaba,Amritsar,"Phawara Chowk, Town Hall, Amritsar",North Indian,3.8
2200175,Gurdas Ram Jalebi Wala,Amritsar,"Near Golden Temple, Town Hall, Amritsar",Mithai,4.1
2200000,Kesar Da Dhabha,Amritsar,"Near Telephone Exchange, Chowk Passian, Shastri Market, Near Town Hall, Amritsar",North Indian,4.1
2200055,Beera Chicken Corner,Amritsar,"Opposite Bandari Hospital, Sehaj Avenue, Majitha Road, Near White Avenue, Amritsar",North Indian,3.8
2200034,Surjit Food Plaza,Amritsar,"Shop 4, Nehru Shopping Complex, Lawrence Road, White Avenue, Amritsar",North Indian,3.5
2200153,Kanha Sweets,Amritsar,"Shop 1, Opposite Bijli Pehalwan Mandir, Lawrence Road, White Avenue, Amritsar",Fast Food,4.1
2500023,Kream N Krunch,Aurangabad,"2, Near Akashwani Circle, Mahesh Nagar, Jalna Road, Akashwani, Aurangabad","North Indian, Chinese, Continental, Italian",3.6
2500076,Balbeer's Kitchen & Bar,Aurangabad,"Shendra, Near Cambridge School, Jalna Road, Chicalthana, Aurangabad","Italian, Continental, Chinese, North Indian",3.3
2500054,Angeethi Restaurant,Aurangabad,"Seven Hill Flyover, Jalna Road, Vidya Nagar, CIDCO, Aurangabad","North Indian, Chinese",3.3
2500134,Domino's Pizza,Aurangabad,"8, Upper Ground Floor, City Pride Commercial Complex, Kali Bawdi, Jalna Road, CIDCO, Aurangabad",Pizza,3.1
2500069,Hotel Laadli,Aurangabad,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad","North Indian, South Indian",3.4
